-10.05 -1.17162e-16 5.118e-17 -1.04951e-16 -7.58615e-17 7.16537e-17 -2.46262e-18 
-9.95 -2.74493e-16 7.87612e-17 -9.61548e-17 1.26702e-16 7.3001e-17 1.75435e-16 
-9.85 3.09811e-17 -1.29478e-16 7.71963e-17 1.99255e-16 -2.76173e-17 -1.02188e-16 
-9.75 7.11643e-17 2.00879e-16 8.76275e-17 2.73583e-16 1.30986e-16 -6.30593e-17 
-9.65 2.65192e-16 3.12609e-16 1.16178e-16 -4.08064e-17 1.81118e-17 -2.17056e-16 
-9.55 9.76053e-17 5.42663e-17 -1.52476e-16 4.23648e-17 7.84144e-17 -4.50751e-16 
-9.45 2.98698e-17 1.65588e-18 -1.34593e-16 -5.22373e-17 -9.09235e-17 -7.67554e-16 
-9.35 1.83962e-16 -9.82847e-18 -7.18092e-17 -3.70816e-16 -3.73557e-16 -1.43935e-15 
-9.25 -6.49708e-17 -1.18092e-16 -2.15783e-17 -1.69911e-16 -6.03678e-16 -3.26796e-15 
-9.15 3.57109e-16 2.27373e-17 6.63539e-17 -4.96491e-16 -1.48844e-15 -7.37159e-15 
-9.05 2.03552e-16 8.39651e-17 1.66691e-16 -5.55657e-16 -3.15084e-15 -1.67004e-14 
-8.95 -6.68419e-17 8.90474e-17 -3.41698e-16 -1.46266e-15 -7.03873e-15 -3.77561e-14 
-8.85 2.5512e-16 -1.01581e-16 -5.06185e-16 -3.07309e-15 -1.61028e-14 -8.4774e-14 
-8.75 2.85254e-16 -1.81103e-16 -9.13912e-16 -6.25022e-15 -3.65919e-14 -1.88768e-13 
-8.65 -1.07878e-16 -2.95813e-16 -1.89159e-15 -1.41012e-14 -8.13164e-14 -4.16386e-13 
-8.55 -2.03559e-17 -6.2994e-16 -4.45205e-15 -3.16029e-14 -1.79965e-13 -9.10353e-13 
-8.45 9.83913e-18 -1.41459e-15 -1.08685e-14 -6.99406e-14 -3.9395e-13 -1.96998e-12 
-8.35 -2.56495e-16 -3.11707e-15 -2.36984e-14 -1.53603e-13 -8.54127e-13 -4.21986e-12 
-8.25 -6.83481e-16 -6.69395e-15 -5.21269e-14 -3.33236e-13 -1.83221e-12 -8.94965e-12 
-8.15 -1.35344e-15 -1.48029e-14 -1.13367e-13 -7.16711e-13 -3.8933e-12 -1.87893e-11 
-8.05 -2.94972e-15 -3.1983e-14 -2.44278e-13 -1.52542e-12 -8.19102e-12 -3.90495e-11 
-7.95 -6.13585e-15 -6.84181e-14 -5.20911e-13 -3.21644e-12 -1.70619e-11 -8.03343e-11 
-7.85 -1.36831e-14 -1.46263e-13 -1.10164e-12 -6.71567e-12 -3.51856e-11 -1.63587e-10 
-7.75 -2.93161e-14 -3.10099e-13 -2.30584e-12 -1.38845e-11 -7.18332e-11 -3.29713e-10 
-7.65 -6.22938e-14 -6.51061e-13 -4.77975e-12 -2.84226e-11 -1.45179e-10 -6.57731e-10 
-7.55 -1.31025e-13 -1.35365e-12 -9.81251e-12 -5.76089e-11 -2.90459e-10 -1.29857e-09 
-7.45 -2.72819e-13 -2.7869e-12 -1.99485e-11 -1.1561e-10 -5.75241e-10 -2.53728e-09 
-7.35 -5.63745e-13 -5.6834e-12 -4.01604e-11 -2.29704e-10 -1.12767e-09 -4.90612e-09 
-7.25 -1.15367e-12 -1.14799e-11 -8.00633e-11 -4.51846e-10 -2.1881e-09 -9.38756e-09 
-7.15 -2.33879e-12 -2.29664e-11 -1.58053e-10 -8.79932e-10 -4.20228e-09 -1.77743e-08 
-7.05 -4.69538e-12 -4.55055e-11 -3.08953e-10 -1.6964e-09 -7.98764e-09 -3.32994e-08 
-6.95 -9.33967e-12 -8.92984e-11 -5.97988e-10 -3.23754e-09 -1.50262e-08 -6.17248e-08 
-6.85 -1.84014e-11 -1.73548e-10 -1.14602e-09 -6.11638e-09 -2.79744e-08 -1.13199e-07 
-6.75 -3.59139e-11 -3.3403e-10 -2.17457e-09 -1.1438e-08 -5.15383e-08 -2.0538e-07 
-6.65 -6.94303e-11 -6.36694e-10 -4.08537e-09 -2.11722e-08 -9.39591e-08 -3.68624e-07 
-6.55 -1.32957e-10 -1.20184e-09 -7.59889e-09 -3.87905e-08 -1.69499e-07 -6.54475e-07 
-6.45 -2.52197e-10 -2.24659e-09 -1.39932e-08 -7.03416e-08 -3.02546e-07 -1.14937e-06 
-6.35 -4.73838e-10 -4.15864e-09 -2.55105e-08 -1.26244e-07 -5.34309e-07 -1.99644e-06 
-6.25 -8.81805e-10 -7.62293e-09 -4.60408e-08 -2.24233e-07 -9.33569e-07 -3.42969e-06 
-6.15 -1.62542e-09 -1.38365e-08 -8.22575e-08 -3.94152e-07 -1.61372e-06 -5.8267e-06 
-6.05 -2.96755e-09 -2.48687e-08 -1.4548e-07 -6.85621e-07 -2.75941e-06 -9.7888e-06 
-5.95 -5.36623e-09 -4.42582e-08 -2.54689e-07 -1.18016e-06 -4.66746e-06 -1.62608e-05 
-5.85 -9.61107e-09 -7.79898e-08 -4.41351e-07 -2.01007e-06 -7.80905e-06 -2.67071e-05 
-5.75 -1.7049e-08 -1.36074e-07 -7.57023e-07 -3.3875e-06 -1.29223e-05 -4.33657e-05 
-5.65 -2.99534e-08 -2.3507e-07 -1.2852e-06 -5.64832e-06 -2.11482e-05 -6.96084e-05 
-5.55 -5.21203e-08 -4.02062e-07 -2.15948e-06 -9.31772e-06 -3.42274e-05 -0.000110442 
-5.45 -8.98206e-08 -6.80849e-07 -3.59114e-06 -1.52064e-05 -5.47777e-05 -0.000173187 
